Date,Month,1_Glen Canyon Dam Gage,2_Lees Ferry Gage,3_Little Colorado River Gage,4_Phantom Ranch Gage,5_National Gage,6_Diamond Gage
17-Oct,67,0.580636605,3.677089041,3.677089041,96.79841964,117.2363239,100.47
17-Nov,68,0.245467033,1.707309433,1.707309433,3.437229588,13.56215909,4.66
17-Dec,69,0.004221002,4.231859602,4.231859602,6.452549814,6.452549814,8.45
18-Jan,70,0.000446927,6.557847841,6.557847841,9.46985517,9.46985517,15.02
18-Feb,71,0.54241573,2.655065234,2.655065234,3.932172285,4.341975309,6.47
18-Mar,72,1.475339806,7.763017448,7.763017448,8.905300473,10.66817876,10.59
18-Apr,73,0.711637348,10.28607506,10.28607506,7.824947735,8.776437216,9.24
18-May,74,0.649982633,9.190682072,9.190682072,6.122548028,7.497833446,6.05
18-Jun,75,0.649982633,2.220617459,3.734318673,5.564590623,0.953506944,8.526818182
18-Jul,76,1.468250689,1.284415145,323.3582511,1378.329485,1326.608636,1429.430964
18-Aug,77,1.143020505,0.943470907,288.4254736,748.8170047,742.6121549,781.629161
18-Sep,78,1.071473245,0.121785962,14.78011859,806.4977304,837.4538889,875.5236458
18-Oct,79,0.272687075,0.549982859,214.1868758,1356.943907,1074.10047,1298.13791
